,url,post_name,year,make_mod,make,mod,price,location,vin,condition,drive,fuel,odometer,paint,title,transmission,type,size,cylinders,city_mpg,hwy_mpg,comb_mpg,description,imgurl
0,https://seattle.craigslist.org/skc/cto/d/maple-valley-2012-chevy-cruze-lt/6875464748.html,2012 Chevy Cruze LT,2012,chevy cruze,chevy,cruze,6500, Maple Valley ,1G1PF5SC2C7107380,excellent,fwd,gas,96250,blue,clean,automatic,sedan,compact,4 cylinders,,,,"We bought this car used in 2013, and we are selling it since we got a new car.   96,250 miles.  This car gets great gas mileage (30 mpg), and is a real peppy car to drive.  Clean title.  1.4 liter engine. Automatic Transmission. Front wheel drive.  Cruise Control, power windows, power door locks, auto headlights, stability control, AM-FM Stereo, CD player, steering wheel audio, Bluetooth connection, hands free phone calling, cloth seats, front and side air bags, air conditioning works great, pass through rear seat, rear defrost.\\The interior is black cloth, and is very clean with no tears or stains.  Carpet is in great condition.  No body damage- paint is nice.  Everything works.\\Defects- front windshield has a crack.  Front spoiler has a small crack.  Driver door has some scratches. Tires have about 10,000 miles left.\\Call Randy  show contact info\\\",https://images.craigslist.org/01212_qH6lCQZvay_600x450.jpg
1,https://seattle.craigslist.org/see/cto/d/renton-chevrolet-equinox/6875440966.html,Chevrolet Equinox,2005,chevrolet equinox,chevrolet,equinox,4500, Renton ,,good,4wd,gas,85000,black,clean,automatic,SUV,mid-size,6 cylinders,17,23,19,"2005 Chevrolet Equinox - Price marked down to almost give away. AWD good for winter here in WA. Mileage at 85,000. Runs great. Spacious, can accommodate the entire family with additional back space for cargo. Power windows functioning. (+) Alarm. Automatic transmission. Just need some TLC.    ",https://images.craigslist.org/00O0O_fdldeBbs3C9_600x450.jpg
2,https://seattle.craigslist.org/oly/cto/d/olympia-2017-nissan-rogue-fwd/6875435422.html,2017 Nissan Rogue S FWD,2017,nissan rogue,nissan,rogue,15950, Olympia ,JN8AT2MT5HW381577,excellent,fwd,gas,60626,silver,clean,automatic,SUV,mid-size,4 cylinders,26,33,29,"Exterior/Body\Rear Defrost, Backup Camera, Rear Wiper, Tinted Glass\\Interior/Dash\AM/FM Radio, Air Conditioning, Clock, Cruise Control, Tilt Steering, Trip Odometer, Steering Wheel Audio Controls, Bluetooth, Digital Dash, Console, Compact Disc Player\\Seating\Cloth Seats, Center Arm Rest, Bucket Seats, Rear Shoulder Harness\\Power Options\Power Steering, Power Door Locks, Power Mirrors, Power Windows\\Drivetrain/Brakes\Automatic Transmission    ",https://images.craigslist.org/00J0J_4FKtjSLFAE0_600x450.jpg
3,https://seattle.craigslist.org/see/cto/d/bellevue-2011-mercedes-benz-c300-sport/6875419550.html,"2011 Mercedes Benz C300 Sport Sedan, Clean Title, 78k miles",2011,mercedes-benz c-class c300,mercedes-benz,c-class,11200, Bellevue ,,excellent,rwd,gas,77500,silver,clean,automatic,sedan,compact,6 cylinders,,,,"Year: 2011\Make: Mercedes\Model: c300\Millage: 77,500\Engine: 3.0L V6\Transmission: Automatic w./SportShift\Drivetrain: RWD \Ext. Color: Silver\Int. Color: Black\\\Options:  Navigation, Premium Sound System w. Ipod Connectors, TPMS, Sun Roof, Power Seats, Cruise Control, Traction Control, ABS, Active Suspension, Fog Lights, Premium OEM Mercedes wheels, Adjustable Telescopic Steering Wheel, Rain Sensors ..etc \\\\It runs and drives like great. Very low miles and in great condition.\\\I got Clean Title on my name and Clean Carfax in hand ready to be sold.\\Asking 11200\\Call or txt  show contact info\",https://images.craigslist.org/00R0R_fEsf2o5FU7q_600x450.jpg
4,https://seattle.craigslist.org/skc/cto/d/seattle-wd-escape-miles-new/6875368040.html,"2008 2wd  Escape, 98800 miles, new transmission, clean and straight",2008,ford escape,ford,escape,7000, Des Moines ,1fmcu02z58ka91081,excellent,fwd,gas,98853,green,clean,automatic,SUV,mid-size,4 cylinders,20,26,22,"Selling my 2008 Ford Escape. It has been a great daily driver for us. I have a Carfax from the guy I bought it from, 10000 miles ago.\\Clean title \98800 miles\2.3 liter 4 cylinder\2wd\\The good:\Clean and straight body\\Had a new transmission professionally installed at 91000 miles. Has less that 9000 miles on it now\\Other work done recently includes: front brakes and rotors, sway bar, axles (I have receipts)\\Full weathertech floor liners all around. Very nice.\\The quirks:\\I only have one key, and the lock button on the key doesn't work, so you need to hit the button in the car before you shut the door. \\A few scratches around the car. No major dent, just a little wear and tear.\\7000 obo\\",https://images.craigslist.org/00606_4qgHb15Hy8W_600x450.jpg
5,https://seattle.craigslist.org/tac/cto/d/lakewood-2013-sho-taurus/6875363361.html,2013 SHO Taurus,2013,ford sho taurus,ford,sho,9000, At the shop ,,excellent,4wd,gas,120000,white,clean,automatic,sedan,full-size,6 cylinders,,,,"SHO MODEL! \The good- Pearl White. Suede insert seats, heated and cooled seats, power rear sun shade, tinted windows, remote start, memory seating, the options list is everything but a moonroof. Brand new PowerStop brake package on front. Has full-size spare tire. Body is pretty clean, almost no rock chips or dings. Tires have great tread. All wheel drive too so no worries about traction. This car came up from Texas, meaning no rust, and never exposed to road salt. This car blue books for about $14,000. Yes, it’s fast, comfortable, good fuel mileage, and turns heads. \They’re pretty uncommon to see. Once you drive one, you will want it! Twin turbo all wheel drive! 365 Horsepower Ecoboost! \Now for the bad-  the timing chain tensioner went bad, and the engine is in need of repair. Kind of a freak thing to happen so I’m told by the dealer and an independent repair shop. I am just going to buy a new vehicle, selling the car as is, so offer up! \Title is clear and at the local credit union.\ Sorry, pictures of the front seats won’t upload for some reason.    ",https://images.craigslist.org/01313_9RKYRy0CebA_600x450.jpg
6,https://seattle.craigslist.org/skc/cto/d/seattle-2009-cadillac-cts-4-awd/6875358617.html,2009 Cadillac CTS 4 AWD,2009,cadillac cts 4,cadillac,cts,8500, Burien ,1G6DG577X90135614,excellent,4wd,gas,116000,purple,clean,automatic,sedan,,6 cylinders,17,26,20,"Ive had this car for several years and have loved it. Always kept in the garage. Has traction control with all wheel drive, makes it really fun to drive! Not your grandparents Caddy! Has more options than I can list, but here are a few: AWD, traction control, carbon fiber trim, Bose audio system, black (Ebony) leather, XM radio, OnStar, Rear view mirror auto dim, compass, Steering wheel audio controls, Passenger Front Airbags, Side Airbags, Front and Rear Side Curtain Airbags, Occupant Sensor.... and the exterior color, so rare. Title says burgandy, but it looks different in different situations. Must see to appreciate. like a dark metallic purple. Got to love Cadillac colors! Transmission is great to. 3 modes: Regular automatic, Sport mode, and Manual. Sport mode learns your driving style and adapts. Did I mention how fun this is to drive?! Corners like a dream to.\I have most of the service receipts, all oil changes on time and full synthetic.  Great tires with lots of life left on them. Leather conditioned ever year in the spring, just got done this month. Comes with 2 keys and 2 key fobs. Any questions, feel free to ask. Call, Text, Email are all fine.\The bad: Crack on windshield, passenger side. Needs front break rotors. has pulsation when breaking. No car is perfect.\\**CLEAN TITLE - IN HAND**\\Bring cash and take it home today!\If you prefer, I am willing to go to the bank and/or licensing office with you as well.\\\Year : 2009	\Make : Cadillac	\Model : CTS	4\Trim : 4dr Sdn AWD	\Mileage : 116,000\Transmission : 6 Speed Automatic. 3 Modes (Auto/Sport/Manual)	\Exterior Color : Burgandy	\Interior : Ebony ""Black"" Leather W/Carbon Fiber Trim\Series : 4dr Sedan  AWD			\Engine : V6 3.6L\\All pictures are of actual car, this month. No stock or old photos.\\\Call, Text, Email is all ok    ",https://images.craigslist.org/00505_kOVRHfi8qk2_600x450.jpg
7,https://seattle.craigslist.org/tac/cto/d/gig-harbor-volvo-s60-t-d/6875358127.html,Volvo S60 T5 2012 4D,2012,volvo s60,volvo,s60,8700, Gig Harbor WA ,YV1622FS6C2091254,excellent,fwd,gas,71864,black,clean,automatic,sedan,,5 cylinders,18,26,21,"This has been a great commuter car.  Regular maintenance/oil changes. Clean. Smoke free. Beige cloth interior. Second owner.  This is a standard model that includes bluetooth, cruise control, driver power seat, and USB port.  Clean title. No accidents. \\Here are some links to information about the Volvo S60 T5:\\https://www.edmunds.com/volvo/s60/2012/review/\\https://cars.usnews.com/cars-trucks/volvo/s60/2012\\https://www.motortrend.com/cars/volvo/s60/2012/\\",https://images.craigslist.org/00N0N_l0Nx66ogB1M_600x450.jpg
8,https://seattle.craigslist.org/see/cto/d/seattle-honda-accord-2008-low-miles/6875356844.html,Honda Accord 2008 low miles,2008,honda accord ex-l sedan 4 dr,honda,accord,8500, google map ,,excellent,fwd,gas,69164,,clean,automatic,sedan,,4 cylinders,21,30,24,"One family owner, low miles, my Mother’s car.  EXL Sedan. Excellent condition, 4 door, 4 cyl, automatic, heated, power, leather seats, sunroof, all the options.  69k miles.    ",https://images.craigslist.org/00l0l_8EF7Cyi65ly_600x450.jpg
9,https://seattle.craigslist.org/tac/cto/d/gig-harbor-2006-nissan-xterra/6875234364.html,2006 Nissan Xterra S,2006,nissan xterra,nissan,xterra,3900, Gig Harbor ,,good,rwd,gas,129142,,clean,automatic,SUV,,,14,20,16,"2006 NISSAN XTERRA S\Vehicle Info\Condition: Used\Odometer: 129,142\Fuel Efficiency: 16/21\Drivetrain\Engine: Gas V6 4.0L/241\Cylinders: 6\Fuel Type: Gasoline\Transmission: 5-Speed Automatic w/OD\Transmission Type: Automatic\Drivetrain: RWD\Body & Interior\Exterior Color: Gold/Tan\Doors: 4\\ We have owned this car since 2010 and it has been great, we just need something bigger for our family. I have had the oil changed every 4000-5000 miles and the car is in pretty good condition with fairly low mileage.    ",https://images.craigslist.org/00T0T_f4dEOIFmc04_600x450.jpg
